
step 0: train loss 11.0016, val loss 11.0015
iter 166: loss 3.8726, time 1277.44ms, mfu 2.19%
iter 167: loss 3.9595, time 1274.91ms, mfu 2.20%
iter 168: loss 3.9247, time 1278.92ms, mfu 2.20%
iter 169: loss 3.9819, time 1278.49ms, mfu 2.20%
iter 170: loss 3.8444, time 1276.35ms, mfu 2.20%
iter 171: loss 3.9360, time 1278.19ms, mfu 2.20%
iter 172: loss 3.8608, time 1278.75ms, mfu 2.20%
iter 173: loss 3.8719, time 1276.13ms, mfu 2.20%
iter 174: loss 3.8943, time 1275.88ms, mfu 2.20%
iter 175: loss 3.9272, time 1276.80ms, mfu 2.20%
iter 176: loss 4.0006, time 1276.46ms, mfu 2.20%
iter 177: loss 3.8463, time 1274.47ms, mfu 2.20%
iter 178: loss 3.9272, time 1275.20ms, mfu 2.20%
iter 179: loss 3.9291, time 1276.25ms, mfu 2.20%
iter 180: loss 3.9177, time 1283.86ms, mfu 2.20%
iter 181: loss 3.9385, time 1280.89ms, mfu 2.20%
iter 182: loss 3.9313, time 1279.16ms, mfu 2.20%
iter 183: loss 3.9597, time 1276.76ms, mfu 2.20%
iter 184: loss 3.7925, time 1277.86ms, mfu 2.20%
iter 185: loss 4.0014, time 1280.80ms, mfu 2.19%
iter 186: loss 3.8873, time 1278.72ms, mfu 2.19%
iter 187: loss 3.8481, time 1272.04ms, mfu 2.20%
iter 188: loss 3.8586, time 1278.77ms, mfu 2.20%
iter 189: loss 3.7891, time 1275.85ms, mfu 2.20%
iter 190: loss 3.9780, time 1279.31ms, mfu 2.20%
iter 191: loss 3.8296, time 1279.53ms, mfu 2.20%
iter 192: loss 3.8835, time 1275.40ms, mfu 2.20%
iter 193: loss 3.8804, time 1277.69ms, mfu 2.20%
iter 194: loss 3.8680, time 1279.66ms, mfu 2.20%
iter 195: loss 3.8452, time 1277.24ms, mfu 2.20%
iter 196: loss 3.7659, time 1277.61ms, mfu 2.20%
iter 197: loss 3.9344, time 1280.46ms, mfu 2.20%
iter 198: loss 3.8808, time 1276.62ms, mfu 2.20%
iter 199: loss 3.8126, time 1275.07ms, mfu 2.20%
iter 200: loss 3.8632, time 1286.95ms, mfu 2.19%
iter 201: loss 3.8226, time 1282.40ms, mfu 2.19%
iter 202: loss 3.8629, time 1282.55ms, mfu 2.19%
iter 203: loss 3.8958, time 1277.86ms, mfu 2.19%
iter 204: loss 3.8217, time 1277.74ms, mfu 2.19%
iter 205: loss 3.8362, time 1277.95ms, mfu 2.19%
iter 206: loss 3.8947, time 1278.15ms, mfu 2.19%
iter 207: loss 3.8329, time 1277.92ms, mfu 2.19%
iter 208: loss 3.8821, time 1274.65ms, mfu 2.19%
iter 209: loss 3.8526, time 1276.62ms, mfu 2.19%
iter 210: loss 3.7602, time 1272.88ms, mfu 2.20%
iter 211: loss 3.7838, time 1277.39ms, mfu 2.20%
iter 212: loss 3.8473, time 1277.64ms, mfu 2.20%
iter 213: loss 3.7610, time 1279.80ms, mfu 2.20%
iter 214: loss 3.8608, time 1289.53ms, mfu 2.19%
iter 215: loss 3.8805, time 1275.15ms, mfu 2.19%
iter 216: loss 3.6992, time 1277.21ms, mfu 2.19%
iter 217: loss 3.8671, time 1276.65ms, mfu 2.19%
iter 218: loss 3.8489, time 1283.98ms, mfu 2.19%
iter 219: loss 3.9490, time 1279.23ms, mfu 2.19%
iter 220: loss 3.8069, time 1280.89ms, mfu 2.19%
iter 221: loss 3.8097, time 1274.78ms, mfu 2.19%
iter 222: loss 3.8918, time 1278.65ms, mfu 2.19%
iter 223: loss 3.7088, time 1276.20ms, mfu 2.19%
iter 224: loss 3.8906, time 1280.58ms, mfu 2.19%
iter 225: loss 3.7902, time 1276.48ms, mfu 2.19%
iter 226: loss 3.8550, time 1276.83ms, mfu 2.19%
iter 227: loss 3.8103, time 1277.77ms, mfu 2.19%
iter 228: loss 3.7731, time 1275.70ms, mfu 2.20%
iter 229: loss 3.8572, time 1276.98ms, mfu 2.20%
iter 230: loss 3.8067, time 1278.54ms, mfu 2.20%
iter 231: loss 3.8767, time 1279.96ms, mfu 2.19%
iter 232: loss 3.7520, time 1276.81ms, mfu 2.20%
iter 233: loss 3.8043, time 1280.27ms, mfu 2.19%
iter 234: loss 3.8283, time 1277.10ms, mfu 2.19%
iter 235: loss 3.8586, time 1277.70ms, mfu 2.20%
iter 236: loss 3.8017, time 1274.13ms, mfu 2.20%
iter 237: loss 3.9040, time 1279.17ms, mfu 2.20%
iter 238: loss 3.8050, time 1278.53ms, mfu 2.20%
iter 239: loss 3.8315, time 1276.74ms, mfu 2.20%
iter 240: loss 3.8362, time 1280.55ms, mfu 2.20%
iter 241: loss 3.8017, time 1276.00ms, mfu 2.20%
iter 242: loss 3.8137, time 1283.00ms, mfu 2.19%
iter 243: loss 3.8359, time 1273.29ms, mfu 2.20%
iter 244: loss 3.8616, time 1277.54ms, mfu 2.20%
iter 245: loss 3.8247, time 1277.12ms, mfu 2.20%
iter 246: loss 3.7341, time 1275.20ms, mfu 2.20%
iter 247: loss 3.8042, time 1281.82ms, mfu 2.20%
iter 248: loss 3.8133, time 1286.11ms, mfu 2.19%
iter 249: loss 3.8232, time 1279.97ms, mfu 2.19%
step 250: train loss 3.7967, val loss 3.7609
saving checkpoint to out-rocstories_guan2
iter 250: loss 3.8596, time 195638.34ms, mfu 1.98%
iter 251: loss 3.9145, time 1280.04ms, mfu 2.00%
iter 252: loss 3.8131, time 1277.68ms, mfu 2.02%
iter 253: loss 3.7199, time 1282.18ms, mfu 2.03%
iter 254: loss 3.7709, time 1294.89ms, mfu 2.05%
iter 255: loss 3.8516, time 1324.86ms, mfu 2.05%
iter 256: loss 3.8443, time 1277.33ms, mfu 2.07%
iter 257: loss 3.8266, time 1276.93ms, mfu 2.08%
iter 258: loss 3.7449, time 1281.13ms, mfu 2.09%
iter 259: loss 3.7940, time 1274.39ms, mfu 2.10%
