
step 0: train loss 11.0016, val loss 11.0015
iter 191: loss 3.8295, time 423.03ms, mfu 7.58%
iter 192: loss 3.8841, time 323.51ms, mfu 7.69%
iter 193: loss 3.8799, time 425.27ms, mfu 7.58%
iter 194: loss 3.8684, time 326.82ms, mfu 7.68%
iter 195: loss 3.8456, time 417.16ms, mfu 7.58%
iter 196: loss 3.7661, time 322.96ms, mfu 7.69%
iter 197: loss 3.9339, time 422.25ms, mfu 7.59%
iter 198: loss 3.8809, time 323.23ms, mfu 7.70%
iter 199: loss 3.8130, time 423.19ms, mfu 7.59%
iter 200: loss 3.8637, time 329.10ms, mfu 7.68%
iter 201: loss 3.8227, time 419.09ms, mfu 7.58%
iter 202: loss 3.8632, time 324.22ms, mfu 7.69%
iter 203: loss 3.8959, time 427.08ms, mfu 7.58%
iter 204: loss 3.8217, time 322.71ms, mfu 7.69%
iter 205: loss 3.8366, time 419.96ms, mfu 7.59%
iter 206: loss 3.8950, time 326.87ms, mfu 7.69%
iter 207: loss 3.8326, time 418.89ms, mfu 7.59%
iter 208: loss 3.8826, time 323.13ms, mfu 7.70%
iter 209: loss 3.8527, time 433.71ms, mfu 7.58%
iter 210: loss 3.7601, time 330.31ms, mfu 7.67%
iter 211: loss 3.7833, time 419.39ms, mfu 7.57%
iter 212: loss 3.8479, time 325.38ms, mfu 7.67%
iter 213: loss 3.7607, time 420.11ms, mfu 7.58%
iter 214: loss 3.8610, time 323.17ms, mfu 7.69%
iter 215: loss 3.8803, time 423.00ms, mfu 7.58%
iter 216: loss 3.6991, time 324.37ms, mfu 7.69%
iter 217: loss 3.8670, time 416.11ms, mfu 7.59%
iter 218: loss 3.8495, time 328.64ms, mfu 7.69%
iter 219: loss 3.9485, time 418.15ms, mfu 7.59%
iter 220: loss 3.8068, time 324.54ms, mfu 7.69%
iter 221: loss 3.8097, time 422.14ms, mfu 7.59%
iter 222: loss 3.8920, time 330.75ms, mfu 7.68%
iter 223: loss 3.7091, time 442.71ms, mfu 7.54%
iter 224: loss 3.8911, time 337.88ms, mfu 7.62%
iter 225: loss 3.7895, time 417.46ms, mfu 7.53%
iter 226: loss 3.8554, time 326.13ms, mfu 7.64%
iter 227: loss 3.8103, time 420.05ms, mfu 7.54%
iter 228: loss 3.7735, time 325.43ms, mfu 7.65%
iter 229: loss 3.8573, time 427.93ms, mfu 7.54%
iter 230: loss 3.8072, time 326.16ms, mfu 7.65%
iter 231: loss 3.8765, time 423.44ms, mfu 7.54%
iter 232: loss 3.7518, time 327.47ms, mfu 7.65%
iter 233: loss 3.8040, time 420.79ms, mfu 7.55%
iter 234: loss 3.8282, time 332.76ms, mfu 7.64%
iter 235: loss 3.8592, time 418.84ms, mfu 7.54%
iter 236: loss 3.8021, time 324.37ms, mfu 7.65%
iter 237: loss 3.9043, time 423.32ms, mfu 7.55%
iter 238: loss 3.8055, time 324.47ms, mfu 7.66%
iter 239: loss 3.8315, time 416.68ms, mfu 7.57%
iter 240: loss 3.8363, time 329.56ms, mfu 7.66%
iter 241: loss 3.8021, time 425.49ms, mfu 7.56%
iter 242: loss 3.8141, time 326.11ms, mfu 7.66%
iter 243: loss 3.8357, time 420.68ms, mfu 7.56%
iter 244: loss 3.8611, time 326.92ms, mfu 7.66%
iter 245: loss 3.8252, time 419.25ms, mfu 7.57%
iter 246: loss 3.7340, time 325.25ms, mfu 7.67%
iter 247: loss 3.8036, time 417.60ms, mfu 7.58%
iter 248: loss 3.8132, time 324.33ms, mfu 7.68%
