
step 0: train loss 4.5682, val loss 4.4975
iter 178: loss 2.1905, time 142.73ms, mfu 14.29%
iter 179: loss 2.0268, time 141.06ms, mfu 14.31%
iter 180: loss 2.0971, time 141.48ms, mfu 14.32%
iter 181: loss 2.0770, time 141.18ms, mfu 14.34%
iter 182: loss 2.0124, time 141.57ms, mfu 14.35%
iter 183: loss 2.1415, time 141.69ms, mfu 14.36%
iter 184: loss 2.0125, time 142.29ms, mfu 14.36%
iter 185: loss 2.0083, time 141.63ms, mfu 14.37%
iter 186: loss 2.0165, time 142.09ms, mfu 14.37%
iter 187: loss 1.9551, time 141.01ms, mfu 14.39%
iter 188: loss 2.0569, time 140.98ms, mfu 14.40%
iter 189: loss 1.7942, time 141.31ms, mfu 14.41%
iter 190: loss 2.0838, time 142.65ms, mfu 14.40%
iter 191: loss 2.0601, time 142.11ms, mfu 14.40%
iter 192: loss 2.1302, time 143.92ms, mfu 14.38%
iter 193: loss 2.0846, time 140.89ms, mfu 14.40%
iter 194: loss 1.8917, time 141.04ms, mfu 14.41%
iter 195: loss 2.1549, time 141.58ms, mfu 14.41%
iter 196: loss 2.0602, time 141.44ms, mfu 14.42%
iter 197: loss 2.1933, time 142.26ms, mfu 14.41%
iter 198: loss 2.2015, time 140.94ms, mfu 14.42%
iter 199: loss 2.0949, time 141.90ms, mfu 14.42%
iter 200: loss 1.9510, time 143.25ms, mfu 14.41%
iter 201: loss 1.9944, time 140.33ms, mfu 14.43%
iter 202: loss 2.1570, time 140.91ms, mfu 14.44%
iter 203: loss 2.0822, time 150.92ms, mfu 14.35%
iter 204: loss 2.1691, time 133.37ms, mfu 14.45%
iter 205: loss 2.2018, time 142.88ms, mfu 14.43%
iter 206: loss 1.9346, time 140.79ms, mfu 14.44%
iter 207: loss 2.0732, time 142.70ms, mfu 14.43%
iter 208: loss 1.9951, time 140.63ms, mfu 14.44%
iter 209: loss 2.2094, time 142.52ms, mfu 14.44%
iter 210: loss 2.1231, time 140.85ms, mfu 14.44%
iter 211: loss 2.0001, time 141.00ms, mfu 14.45%
iter 212: loss 2.0845, time 144.41ms, mfu 14.42%
iter 213: loss 2.0432, time 141.52ms, mfu 14.43%
iter 214: loss 1.9298, time 140.73ms, mfu 14.44%
iter 215: loss 2.0149, time 141.47ms, mfu 14.44%
iter 216: loss 2.0825, time 140.94ms, mfu 14.45%
iter 217: loss 1.8737, time 142.16ms, mfu 14.44%
iter 218: loss 2.2102, time 139.99ms, mfu 14.46%
iter 219: loss 2.0197, time 141.46ms, mfu 14.46%
iter 220: loss 2.0787, time 141.15ms, mfu 14.46%
iter 221: loss 1.9720, time 141.68ms, mfu 14.46%
iter 222: loss 2.2244, time 141.93ms, mfu 14.46%
iter 223: loss 1.9867, time 142.13ms, mfu 14.45%
iter 224: loss 2.2035, time 140.31ms, mfu 14.46%
iter 225: loss 1.9552, time 141.14ms, mfu 14.47%
iter 226: loss 2.0671, time 143.03ms, mfu 14.45%
iter 227: loss 1.8880, time 140.68ms, mfu 14.46%
iter 228: loss 2.1374, time 141.15ms, mfu 14.46%
iter 229: loss 1.9692, time 142.41ms, mfu 14.45%
iter 230: loss 2.1755, time 141.04ms, mfu 14.46%
iter 231: loss 1.9636, time 140.43ms, mfu 14.47%
iter 232: loss 2.1304, time 143.41ms, mfu 14.45%
iter 233: loss 2.1674, time 143.36ms, mfu 14.43%
iter 234: loss 2.0430, time 141.30ms, mfu 14.44%
iter 235: loss 2.1978, time 141.01ms, mfu 14.44%
iter 236: loss 1.9128, time 141.26ms, mfu 14.45%
iter 237: loss 2.1252, time 141.13ms, mfu 14.45%
iter 238: loss 2.0744, time 141.81ms, mfu 14.45%
iter 239: loss 1.8536, time 140.40ms, mfu 14.46%
iter 240: loss 1.8709, time 143.23ms, mfu 14.44%
iter 241: loss 2.0786, time 141.53ms, mfu 14.45%
iter 242: loss 1.9917, time 141.39ms, mfu 14.45%
iter 243: loss 2.0106, time 142.14ms, mfu 14.44%
iter 244: loss 2.0195, time 141.39ms, mfu 14.45%
iter 245: loss 2.0105, time 140.77ms, mfu 14.45%
iter 246: loss 1.9273, time 141.08ms, mfu 14.46%
iter 247: loss 2.0520, time 143.99ms, mfu 14.43%
iter 248: loss 2.1638, time 141.78ms, mfu 14.43%
iter 249: loss 2.0581, time 141.18ms, mfu 14.44%
step 250: train loss 2.0397, val loss 1.7199
saving checkpoint to out-common_sense
